Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L5;C1;Strawberry;83;AA;24;LO,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L6;C1;Cherry;144;AA;27;LO,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L7;C1;Cherry;11;LO;16;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L1;C10;Cranberry;180;AA;5;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L2;C10;Cherry;90;AA;14;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L3;C10;Strawberry;76;AA;26;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L4;C10;Cranberry;220;AA;11;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L5;C10;Cherry;286;AA;16;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L6;C10;Strawberry;69;LO;32;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L7;C10;Cranberry;159;LO;31;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L1;C2;Strawberry;165;AA;19;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L2;C2;Cranberry;203;AA;2;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L3;C2;Cherry;284;AA;16;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L4;C2;Cranberry;158;AA;32;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L5;C2;Strawberry;230;AA;31;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L6;C2;Cherry;177;LO;28;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L1;C3;Cranberry;125;AA;61;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L2;C3;Strawberry;126;AA;31;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L3;C3;Cherry;232;AA;35;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L4;C3;Strawberry;170;AA;38;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L5;C3;Cranberry;109;AA;57;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L6;C3;Cherry;152;LO;59;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L7;C3;Strawberry;228;LO;38;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L1;C4;Cherry;82;AA;37;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L2;C4;Cranberry;164;AA;36;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L3;C4;Strawberry;213;AA;52;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L4;C4;Cranberry;219;AA;25;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L5;C4;Cherry;158;AA;60;LO,
1B;NA;FR1;Strawberry;G7;23/8/2017;09/06/2017;L6;C4;Strawberry;202;LO;31;LO,
1B;NA;CR1;Cranberry;G7;23/8/2017;09/06/2017;L1;C5;Strawberry;106;AA;24;LO,
1B;NA;CR1;Cranberry;G7;23/8/2017;09/06/2017;L2;C5;Cranberry;154;AA;31;LO,
1B;NA;TO3;Tomato;G7;23/8/2017;09/06/2017;L10;C5;Tomato;175;LO;5;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L1;C6;Cranberry;122;AA;37;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L2;C6;Strawberry;109;AA;9;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L3;C6;Cherry;155;AA;21;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L4;C6;Cranberry;210;AA;11;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L5;C6;Strawberry;150;AA;28;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L6;C6;Cherry;248;LO;25;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L7;C6;Cranberry;140;LO;31;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L8;C6;Strawberry;190;LO;19;LO,
1B;NA;CE3;Cherry;G7;23/8/2017;09/06/2017;L9;C6;Cherry;243;LO;32;LO,
1B;NA;CR2;Cranberry;G7;23/8/2017;09/06/2017;L1;C7;Cranberry;123;AA;57;LO,
1B;NA;CR2;Cranberry;G7;23/8/2017;09/06/2017;L2;C7;Cherry;168;AA;48;LO,
1B;NA;CE2;Cherry;G7;23/8/2017;09/06/2017;L9;C7;Cranberry;43;LO;23;LO,
